,total_day_minutes,total_day_charge,total_eve_minutes,total_eve_charge,total_night_minutes,total_night_charge,total_intl_minutes,total_intl_charge,TARGET
36,146.3,24.87,162.5,13.81,129.3,5.82,14.5,3.92,0
37,130.8,22.24,223.7,19.01,227.8,10.25,10.0,2.7,0
38,203.9,34.66,187.6,15.95,101.7,4.58,10.5,2.84,0
39,140.4,23.87,271.8,23.1,188.3,8.47,11.1,3.0,0
40,126.3,21.47,166.8,14.18,187.8,8.45,9.4,2.54,0
41,173.1,29.43,203.9,17.33,122.2,5.5,14.6,3.94,1
42,124.8,21.22,282.2,23.99,311.5,14.02,10.0,2.7,0
43,85.8,14.59,165.3,14.05,178.5,8.03,9.2,2.48,0
44,154.0,26.18,225.8,19.19,265.3,11.94,3.5,0.95,0
45,120.9,20.55,213.0,18.11,163.1,7.34,8.5,2.3,0
46,211.3,35.92,162.6,13.82,134.7,6.06,13.2,3.56,0
47,187.0,31.79,134.6,11.44,242.2,10.9,7.4,2.0,0
48,159.1,27.05,231.3,19.66,143.2,6.44,8.8,2.38,1
49,133.2,22.64,217.2,18.46,70.6,3.18,11.0,2.97,0
50,191.9,32.62,269.8,22.93,236.8,10.66,7.8,2.11,0
51,220.6,37.5,211.1,17.94,249.0,11.21,6.8,1.84,0
52,186.1,31.64,190.2,16.17,282.8,12.73,11.4,3.08,0
53,160.2,27.23,267.5,22.74,228.5,10.28,9.3,2.51,0
54,151.0,25.67,219.7,18.67,203.9,9.18,9.7,2.62,1
55,175.5,29.84,249.3,21.19,270.2,12.16,10.2,2.75,0
56,126.9,21.57,180.0,15.3,140.8,6.34,8.0,2.16,0
57,198.4,33.73,75.3,6.4,181.2,8.15,5.8,1.57,1
58,148.8,25.3,246.5,20.95,129.8,5.84,12.1,3.27,0
59,229.3,38.98,177.4,15.08,189.3,8.52,12.0,3.24,0
60,192.1,32.66,169.9,14.44,166.6,7.5,11.4,3.08,0
61,268.6,45.66,178.2,15.15,166.3,7.48,11.6,3.13,0
62,193.7,32.93,246.1,20.92,138.0,6.21,14.6,3.94,0
63,180.7,30.72,187.8,15.96,265.5,11.95,12.6,3.4,0
64,131.2,22.3,162.9,13.85,159.0,7.15,8.2,2.21,0
65,148.1,25.18,169.5,14.41,214.1,9.63,6.2,1.67,0
66,251.5,42.76,212.8,18.09,157.8,7.1,9.3,2.51,0
67,125.2,21.28,206.4,17.54,129.3,5.82,8.3,2.24,0
68,211.6,35.97,216.9,18.44,153.5,6.91,7.8,2.11,0
69,178.9,30.41,169.1,14.37,148.6,6.69,13.8,3.73,1
70,241.8,41.11,170.5,14.49,295.3,13.29,11.8,3.19,0
71,224.9,38.23,188.2,16.0,254.6,11.46,12.1,3.27,0
72,248.6,42.26,148.9,12.66,172.5,7.76,8.0,2.16,0
73,203.4,34.58,226.7,19.27,152.4,6.86,7.3,1.97,0
74,235.8,40.09,157.2,13.36,188.2,8.47,12.0,3.24,0
75,157.1,26.71,223.3,18.98,181.4,8.16,6.1,1.65,0
76,300.3,51.05,181.0,15.39,270.1,12.15,11.7,3.16,1
77,61.6,10.47,77.1,6.55,173.0,7.79,8.2,2.21,1
78,214.1,36.4,164.4,13.97,177.5,7.99,8.2,2.21,0
79,170.2,28.93,155.2,13.19,228.6,10.29,15.0,4.05,0
80,201.1,34.19,303.5,25.8,224.0,10.08,13.2,3.56,0
81,215.4,36.62,204.8,17.41,278.5,12.53,12.6,3.4,0
82,165.6,28.15,136.1,11.57,175.7,7.91,11.0,2.97,0
83,249.5,42.42,259.7,22.07,222.7,10.02,9.8,2.65,0
84,210.6,35.8,249.2,21.18,191.4,8.61,12.4,3.35,1
85,179.3,30.48,225.9,19.2,323.0,14.54,8.6,2.32,0
86,157.9,26.84,155.0,13.18,189.6,8.53,8.0,2.16,1
87,214.3,36.43,208.5,17.72,182.4,8.21,12.0,3.24,0
88,154.1,26.2,123.4,10.49,202.1,9.09,10.9,2.94,0
89,237.9,40.44,247.6,21.05,208.9,9.4,13.9,3.75,1
90,143.9,24.46,194.9,16.57,109.6,4.93,11.1,3.0,0
91,203.4,34.58,190.9,16.23,196.0,8.82,8.9,2.4,1
92,124.3,21.13,173.0,14.71,253.2,11.39,7.9,2.13,0
93,252.9,42.99,178.4,15.16,263.9,11.88,9.5,2.57,0
94,179.1,30.45,190.6,16.2,127.7,5.75,10.6,2.86,0
95,278.4,47.33,81.0,6.89,163.2,7.34,9.8,2.65,0
96,160.1,27.22,213.3,18.13,174.1,7.83,13.0,3.51,0
97,198.2,33.69,207.3,17.62,190.9,8.59,8.7,2.35,0
98,212.1,36.06,209.4,17.8,167.2,7.52,5.3,1.43,1
99,251.8,42.81,205.7,17.48,275.2,12.38,9.8,2.65,1
100,161.2,27.4,252.2,21.44,160.2,7.21,4.4,1.19,0
101,178.3,30.31,189.0,16.07,129.1,5.81,14.6,3.94,0
102,151.7,25.79,119.0,10.12,180.0,8.1,10.5,2.84,0
103,135.0,22.95,183.6,15.61,245.3,11.04,12.5,3.38,0
104,170.5,28.99,173.7,14.76,248.6,11.19,11.3,3.05,0
105,238.1,40.48,187.2,15.91,190.0,8.55,11.8,3.19,0
106,281.4,47.84,202.2,17.19,187.2,8.42,9.0,2.43,0
107,117.9,20.04,164.5,13.98,217.0,9.76,9.8,2.65,0
108,148.6,25.26,131.1,11.14,219.4,9.87,10.1,2.73,0
109,229.8,39.07,147.9,12.57,241.4,10.86,9.6,2.59,0
110,165.0,28.05,317.2,26.96,119.2,5.36,8.3,2.24,0
111,185.0,31.45,223.3,18.98,222.8,10.03,12.6,3.4,0
112,161.0,27.37,190.9,16.23,227.7,10.25,12.1,3.27,0
113,126.7,21.54,206.0,17.51,247.8,11.15,13.3,3.59,0
114,58.9,10.01,169.6,14.42,211.4,9.51,9.4,2.54,0
115,196.8,33.46,254.9,21.67,138.3,6.22,20.0,5.4,1
116,162.6,27.64,152.3,12.95,57.5,2.59,14.2,3.83,0
117,282.5,48.03,219.9,18.69,170.0,7.65,9.4,2.54,1
118,113.7,19.33,157.5,13.39,177.6,7.99,10.0,2.7,0
119,239.8,40.77,214.8,18.26,143.3,6.45,8.7,2.35,0
120,210.2,35.73,227.3,19.32,200.1,9.0,13.1,3.54,0
121,213.8,36.35,141.8,12.05,142.2,6.4,7.2,1.94,0
122,190.7,32.42,183.5,15.6,220.8,9.94,9.8,2.65,0
123,170.9,29.05,132.3,11.25,112.9,5.08,11.6,3.13,0
124,154.2,26.21,110.2,9.37,227.4,10.23,9.2,2.48,0
125,201.4,34.24,229.4,19.5,252.5,11.36,12.0,3.24,0
126,70.7,12.02,157.5,13.39,154.8,6.97,9.1,2.46,1
127,187.5,31.88,146.6,12.46,225.7,10.16,6.4,1.73,1
128,91.7,15.59,193.7,16.46,175.0,7.88,9.2,2.48,0
129,214.2,36.41,161.7,13.74,264.7,11.91,9.5,2.57,0
130,145.5,24.74,217.7,18.5,146.9,6.61,10.9,2.94,0
131,166.3,28.27,158.2,13.45,256.7,11.55,6.1,1.65,0
132,231.0,39.27,230.4,19.58,261.4,11.76,9.5,2.57,0
133,200.3,34.05,201.2,17.1,206.1,9.27,7.1,1.92,0
134,197.0,33.49,202.6,17.22,206.4,9.29,9.1,2.46,0
135,129.9,22.08,173.3,14.73,247.2,11.12,11.2,3.02,0
136,175.8,29.89,217.5,18.49,237.5,10.69,5.3,1.43,0
137,203.1,34.53,210.1,17.86,195.6,8.8,12.0,3.24,0
138,183.2,31.14,126.8,10.78,263.3,11.85,11.2,3.02,0
139,205.0,34.85,152.0,12.92,158.6,7.14,10.2,2.75,0
140,148.5,25.25,276.4,23.49,193.6,8.71,12.4,3.35,0
141,200.3,34.05,220.4,18.73,253.8,11.42,10.5,2.84,0
142,192.6,32.74,195.5,16.62,109.7,4.94,6.8,1.84,0
143,246.5,41.91,195.5,16.62,200.5,9.02,11.7,3.16,0
144,167.1,28.41,177.5,15.09,249.4,11.22,14.1,3.81,1
145,231.9,39.42,160.1,13.61,110.4,4.97,14.3,3.86,0
146,146.7,24.94,203.5,17.3,203.4,9.15,13.7,3.7,0
147,271.5,46.16,216.3,18.39,121.1,5.45,11.7,3.16,0
148,181.5,30.86,218.4,18.56,161.6,7.27,8.5,2.3,0
149,257.7,43.81,162.1,13.78,286.9,12.91,11.1,3.0,0
150,193.8,32.95,221.4,18.82,172.3,7.75,10.6,2.86,0
151,102.8,17.48,206.7,17.57,299.0,13.46,10.1,2.73,0
152,187.9,31.94,157.6,13.4,227.3,10.23,7.5,2.03,0
153,226.0,38.42,248.5,21.12,140.5,6.32,6.9,1.86,0
154,260.4,44.27,146.0,12.41,269.5,12.13,11.5,3.11,0
155,178.7,30.38,292.1,24.83,265.9,11.97,9.8,2.65,0
156,337.4,57.36,227.4,19.33,153.9,6.93,15.8,4.27,1
157,157.6,26.79,247.0,21.0,259.2,11.66,13.7,3.7,0
158,183.6,31.21,256.7,21.82,178.6,8.04,10.2,2.75,0
159,142.1,24.16,183.4,15.59,164.8,7.42,9.6,2.59,0
160,136.3,23.17,172.2,14.64,137.5,6.19,7.1,1.92,0
161,217.1,36.91,241.5,20.53,253.5,11.41,12.0,3.24,0
162,187.5,31.88,241.4,20.52,229.5,10.33,10.5,2.84,0
163,98.9,16.81,135.4,11.51,236.6,10.65,12.2,3.29,0
164,206.3,35.07,148.6,12.63,167.2,7.52,6.1,1.65,0
165,243.1,41.33,213.8,18.17,228.7,10.29,12.1,3.27,0
166,189.8,32.27,163.3,13.88,264.8,11.92,7.5,2.03,0
167,202.0,34.34,243.2,20.67,261.3,11.76,10.9,2.94,0
168,170.1,28.92,193.3,16.43,105.9,4.77,12.8,3.46,0
169,230.9,39.25,187.4,15.93,154.0,6.93,6.3,1.7,0
170,237.1,40.31,223.5,19.0,97.4,4.38,13.2,3.56,0
171,182.1,30.96,169.7,14.42,164.7,7.41,10.6,2.86,0
172,119.3,20.28,211.5,17.98,268.9,12.1,10.5,2.84,0
173,116.8,19.86,178.9,15.21,182.4,8.21,14.1,3.81,0
174,219.2,37.26,149.4,12.7,244.7,11.01,6.1,1.65,0
175,252.6,42.94,169.0,14.37,170.9,7.69,11.1,3.0,0
176,147.1,25.01,190.4,16.18,195.2,8.78,12.2,3.29,0
177,202.1,34.36,229.4,19.5,195.2,8.78,11.5,3.11,0
178,173.5,29.5,194.1,16.5,208.0,9.36,16.2,4.37,0
179,232.1,39.46,292.3,24.85,201.2,9.05,0.0,0.0,0
180,197.1,33.51,214.5,18.23,282.2,12.7,9.5,2.57,0
181,58.2,9.89,138.7,11.79,136.8,6.16,11.9,3.21,1
182,115.6,19.65,237.7,20.2,169.9,7.65,9.9,2.67,0
183,186.1,31.64,254.3,21.62,214.0,9.63,14.6,3.94,0
184,259.9,44.18,245.0,20.83,134.4,6.05,8.4,2.27,0
185,214.3,36.43,268.5,22.82,241.2,10.85,10.8,2.92,0
186,158.7,26.98,64.3,5.47,198.5,8.93,10.2,2.75,0
187,271.6,46.17,229.4,19.5,77.3,3.48,10.9,2.94,0
188,160.6,27.3,163.2,13.87,187.1,8.42,9.0,2.43,0
189,232.4,39.51,187.4,15.93,231.2,10.4,9.1,2.46,0
190,133.8,22.75,180.5,15.34,112.2,5.05,8.9,2.4,0
191,176.9,30.07,90.7,7.71,238.0,10.71,9.5,2.57,0
192,209.9,35.68,195.1,16.58,208.2,9.37,8.8,2.38,0
193,137.5,23.38,203.2,17.27,150.0,6.75,13.4,3.62,0
194,289.5,49.22,166.6,14.16,119.1,5.36,9.5,2.57,0
195,198.1,33.68,177.0,15.05,180.5,8.12,6.8,1.84,0
196,149.7,25.45,182.2,15.49,261.5,11.77,9.7,2.62,0
197,326.5,55.51,176.3,14.99,181.7,8.18,10.7,2.89,1
198,292.9,49.79,199.7,16.97,255.3,11.49,13.8,3.73,1
199,83.0,14.11,177.0,15.05,245.7,11.06,13.0,3.51,0
200,145.7,24.77,220.5,18.74,249.9,11.25,13.1,3.54,0
201,182.3,30.99,328.2,27.9,245.0,11.03,11.2,3.02,0
202,218.0,37.06,184.0,15.64,240.5,10.82,6.4,1.73,0
203,140.6,23.9,178.6,15.18,217.0,9.76,6.8,1.84,0
204,152.7,25.96,257.5,21.89,198.1,8.91,9.4,2.54,0
205,106.7,18.14,209.8,17.83,190.4,8.57,12.1,3.27,0
206,243.8,41.45,83.9,7.13,179.8,8.09,13.7,3.7,0
207,194.4,33.05,186.7,15.87,223.3,10.05,10.8,2.92,0
208,213.9,36.36,151.9,12.91,260.1,11.7,12.2,3.29,0
209,217.2,36.92,246.7,20.97,226.1,10.17,15.8,4.27,0
210,241.1,40.99,155.6,13.23,188.2,8.47,11.6,3.13,0
211,203.5,34.6,247.6,21.05,194.3,8.74,11.9,3.21,0
212,155.2,26.38,244.5,20.78,122.4,5.51,10.7,2.89,0
213,167.6,28.49,113.0,9.61,246.9,11.11,12.2,3.29,0
214,226.7,38.54,228.1,19.39,73.2,3.29,17.6,4.75,1
215,179.3,30.48,178.6,15.18,225.2,10.13,11.5,3.11,0
216,151.4,25.74,186.4,15.84,172.5,7.76,10.9,2.94,0
217,180.0,30.6,224.2,19.06,265.4,11.94,4.7,1.27,0
218,250.2,42.53,267.1,22.7,151.0,6.8,13.0,3.51,1
219,223.0,37.91,110.1,9.36,188.7,8.49,7.1,1.92,0
220,183.6,31.21,152.6,12.97,212.2,9.55,12.2,3.29,0
221,166.0,28.22,174.5,14.83,244.9,11.02,10.2,2.75,0
222,136.1,23.14,272.9,23.2,220.2,9.91,4.4,1.19,0
223,149.3,25.38,242.2,20.59,174.3,7.84,8.9,2.4,0
224,65.4,11.12,168.2,14.3,236.0,10.62,13.8,3.73,0
225,213.4,36.28,234.5,19.93,250.1,11.25,2.7,0.73,0
226,206.9,35.17,244.7,20.8,221.5,9.97,7.7,2.08,0
227,186.2,31.65,189.6,16.12,76.5,3.44,9.6,2.59,0
228,280.2,47.63,220.5,18.74,136.9,6.16,13.3,3.59,0
229,196.6,33.42,313.2,26.62,163.3,7.35,11.9,3.21,0
230,312.0,53.04,129.4,11.0,217.6,9.79,10.5,2.84,1
231,199.0,33.83,291.3,24.76,197.6,8.89,11.0,2.97,0
232,203.1,34.53,217.0,18.45,180.9,8.14,13.5,3.65,0
233,168.8,28.7,220.3,18.73,154.3,6.94,10.9,2.94,0
234,173.1,29.43,240.3,20.43,233.2,10.49,9.0,2.43,0
235,134.4,22.85,211.3,17.96,193.6,8.71,10.2,2.75,1
236,202.6,34.44,118.8,10.1,234.9,10.57,9.0,2.43,0
237,74.5,12.67,200.8,17.07,192.2,8.65,9.8,2.65,0
238,83.6,14.21,120.9,10.28,226.6,10.2,10.7,2.89,0
239,192.2,32.67,168.6,14.33,139.8,6.29,9.4,2.54,0
240,220.2,37.43,88.3,7.51,195.3,8.79,12.9,3.48,0
241,135.1,22.97,134.1,11.4,223.1,10.04,12.3,3.32,1
242,253.4,43.08,182.4,15.5,275.8,12.41,8.4,2.27,0
243,225.0,38.25,176.9,15.04,194.3,8.74,7.1,1.92,0
244,198.5,33.75,267.8,22.76,354.9,15.97,9.4,2.54,1
245,110.3,18.75,166.5,14.15,202.3,9.1,9.5,2.57,0
246,60.0,10.2,102.2,8.69,261.8,11.78,11.1,3.0,0
247,214.8,36.52,149.7,12.72,283.4,12.75,10.2,2.75,0
248,181.8,30.91,202.4,17.2,245.9,11.07,9.2,2.48,0
249,154.0,26.18,278.0,23.63,228.4,10.28,11.8,3.19,0
250,157.4,26.76,117.9,10.02,279.2,12.56,13.9,3.75,1
251,207.9,35.34,172.0,14.62,191.8,8.63,14.4,3.89,0
252,207.0,35.19,232.9,19.8,172.4,7.76,9.1,2.46,0
253,119.0,20.23,230.0,19.55,236.9,10.66,9.5,2.57,0
254,143.7,24.43,273.0,23.21,178.3,8.02,10.9,2.94,0
255,165.9,28.2,216.5,18.4,173.1,7.79,14.1,3.81,0
256,138.6,23.56,172.3,14.65,231.6,10.42,9.8,2.65,0
257,84.7,14.4,249.9,21.24,193.4,8.7,14.5,3.92,0
258,62.6,10.64,180.6,15.35,221.7,9.98,10.4,2.81,1
259,155.2,26.38,235.3,20.0,169.4,7.62,8.7,2.35,0
260,164.9,28.03,209.3,17.79,231.2,10.4,6.7,1.81,0
261,134.5,22.87,143.1,12.16,223.9,10.08,15.4,4.16,0
262,143.3,24.36,211.3,17.96,185.2,8.33,11.5,3.11,0
263,168.3,28.61,221.2,18.8,241.0,10.85,12.5,3.38,0
264,262.4,44.61,194.6,16.54,146.5,6.59,8.3,2.24,0
265,206.2,35.05,260.0,22.1,291.6,13.12,11.4,3.08,0
266,225.8,38.39,193.0,16.41,232.4,10.46,8.4,2.27,0
267,138.3,23.51,170.5,14.49,263.9,11.88,13.5,3.65,0
268,94.4,16.05,136.2,11.58,147.4,6.63,4.5,1.22,0
269,160.0,27.2,175.4,14.91,184.8,8.32,9.9,2.67,0
270,206.6,35.12,224.9,19.12,249.9,11.25,14.6,3.94,0
271,134.7,22.9,180.0,15.3,200.9,9.04,7.7,2.08,0
272,214.4,36.45,235.2,19.99,206.2,9.28,8.0,2.16,0
273,192.8,32.78,234.4,19.92,203.2,9.14,13.0,3.51,0
274,151.1,25.69,194.8,16.56,239.2,10.76,10.0,2.7,0
275,221.4,37.64,231.8,19.7,122.5,5.51,9.8,2.65,0
276,218.9,37.21,208.0,17.68,203.3,9.15,11.1,3.0,0
277,189.8,32.27,123.4,10.49,214.2,9.64,6.5,1.76,1
278,192.7,32.76,225.9,19.2,254.2,11.44,10.9,2.94,0
279,204.4,34.75,219.1,18.62,222.7,10.02,10.5,2.84,0
280,172.3,29.29,174.0,14.79,188.2,8.47,13.0,3.51,0
281,198.4,33.73,210.9,17.93,193.3,8.7,10.4,2.81,0
282,211.7,35.99,159.9,13.59,144.1,6.48,12.2,3.29,0
283,221.6,37.67,288.4,24.51,240.3,10.81,9.0,2.43,0
284,197.9,33.64,181.5,15.43,281.4,12.66,6.7,1.81,0
285,147.5,25.08,175.7,14.93,252.1,11.34,15.6,4.21,0
286,206.4,35.09,128.0,10.88,194.5,8.75,8.8,2.38,0
287,205.9,35.0,209.3,17.79,289.9,13.05,14.5,3.92,0
288,207.6,35.29,132.4,11.25,255.2,11.48,14.1,3.81,0
289,303.9,51.66,260.9,22.18,312.1,14.04,5.3,1.43,1
290,230.6,39.2,219.4,18.65,299.3,13.47,8.0,2.16,0
291,99.5,16.92,129.1,10.97,125.1,5.63,9.7,2.62,0
292,177.1,30.11,194.0,16.49,146.7,6.6,5.9,1.59,0
293,172.7,29.36,120.1,10.21,216.1,9.72,10.3,2.78,1
294,172.7,29.36,133.4,11.34,259.5,11.68,9.8,2.65,0
295,204.2,34.71,179.9,15.29,216.8,9.76,9.5,2.57,0
296,85.7,14.57,247.7,21.05,142.4,6.41,10.1,2.73,0
297,157.6,26.79,184.3,15.67,240.4,10.82,11.9,3.21,0
298,215.5,36.64,218.7,18.59,207.1,9.32,6.6,1.78,0
299,181.5,30.86,199.9,16.99,287.7,12.95,6.6,1.78,0
300,171.7,29.19,110.4,9.38,195.4,8.79,11.9,3.21,0
301,266.6,45.32,264.8,22.51,207.2,9.32,5.9,1.59,1
302,170.4,28.97,350.5,29.79,297.0,13.37,11.2,3.02,1
303,158.0,26.86,292.5,24.86,241.1,10.85,9.1,2.46,0
304,92.0,15.64,253.6,21.56,214.1,9.63,10.3,2.78,0
305,234.0,39.78,249.5,21.21,173.1,7.79,9.1,2.46,0
306,272.1,46.26,268.5,22.82,213.8,9.62,8.5,2.3,1
307,296.4,50.39,214.8,18.26,133.9,6.03,11.4,3.08,1
308,194.4,33.05,190.3,16.18,183.4,8.25,11.4,3.08,0
309,227.2,38.62,258.4,21.96,183.5,8.26,8.9,2.4,0
310,248.7,42.28,220.0,18.7,265.7,11.96,13.2,3.56,1
311,236.3,40.17,195.9,16.65,183.5,8.26,9.7,2.62,0
312,205.6,34.95,169.5,14.41,220.1,9.9,10.9,2.94,0
313,94.1,16.0,280.3,23.83,205.0,9.23,9.8,2.65,0
314,125.2,21.28,205.4,17.46,254.4,11.45,18.9,5.1,0
315,60.4,10.27,306.2,26.03,123.9,5.58,12.4,3.35,0
316,121.0,20.57,270.4,22.98,160.5,7.22,7.7,2.08,0
317,117.8,20.03,256.8,21.83,147.6,6.64,7.6,2.05,0
318,232.4,39.51,211.9,18.01,273.0,12.29,5.0,1.35,0
319,223.5,38.0,188.8,16.05,154.9,6.97,9.4,2.54,1
320,176.3,29.97,259.2,22.03,287.4,12.93,6.2,1.67,0
321,125.2,21.28,177.8,15.11,232.4,10.46,12.9,3.48,0
322,138.7,23.58,256.9,21.84,234.9,10.57,10.0,2.7,0
323,86.3,14.67,246.6,20.96,251.6,11.32,11.3,3.05,0
324,207.0,35.19,154.9,13.17,245.1,11.03,13.4,3.62,0
325,58.8,10.0,219.5,18.66,152.3,6.85,7.1,1.92,0
326,68.7,11.68,209.2,17.78,197.4,8.88,11.4,3.08,0
327,239.2,40.66,235.5,20.02,156.3,7.03,9.5,2.57,0
328,198.3,33.71,217.1,18.45,188.4,8.48,12.5,3.38,0
329,205.2,34.88,240.6,20.45,79.7,3.59,14.4,3.89,0
330,192.1,32.66,312.9,26.6,130.2,5.86,7.9,2.13,0
331,272.6,46.34,248.7,21.14,197.4,8.88,9.5,2.57,1
332,128.3,21.81,197.1,16.75,138.4,6.23,12.2,3.29,1
333,169.6,28.83,264.1,22.45,206.3,9.28,9.3,2.51,0
334,201.3,34.22,152.8,12.99,233.2,10.49,7.5,2.03,0
335,214.7,36.5,138.5,11.77,169.1,7.61,8.6,2.32,0
336,169.2,28.76,271.5,23.08,170.2,7.66,10.6,2.86,0
337,194.1,33.0,176.6,15.01,302.8,13.63,7.0,1.89,0
338,233.8,39.75,266.5,22.65,212.7,9.57,7.6,2.05,0
339,225.1,38.27,199.2,16.93,175.5,7.9,14.6,3.94,0
340,213.0,36.21,176.6,15.01,262.6,11.82,9.1,2.46,1
341,183.9,31.26,255.9,21.75,275.0,12.38,10.8,2.92,0
342,221.8,37.71,161.7,13.74,227.7,10.25,14.0,3.78,0
343,64.6,10.98,176.1,14.97,244.8,11.02,0.0,0.0,0
344,154.6,26.28,83.4,7.09,165.9,7.47,13.3,3.59,0
345,260.2,44.23,179.2,15.23,135.0,6.08,7.2,1.94,0
346,161.6,27.47,123.0,10.46,261.3,11.76,12.2,3.29,0
347,220.6,37.5,155.2,13.19,186.7,8.4,10.5,2.84,0
348,155.9,26.5,162.3,13.8,127.6,5.74,13.1,3.54,0
349,107.0,18.19,105.7,8.98,243.1,10.94,12.8,3.46,1
350,182.5,31.03,204.7,17.4,229.9,10.35,11.3,3.05,0
351,220.1,37.42,234.3,19.92,237.3,10.68,10.1,2.73,0
352,152.2,25.87,177.2,15.06,96.4,4.34,5.3,1.43,0
353,181.5,30.86,205.1,17.43,204.0,9.18,14.7,3.97,0
354,236.2,40.15,218.6,18.58,194.1,8.73,13.2,3.56,1
355,166.1,28.24,79.3,6.74,213.7,9.62,12.7,3.43,0
356,244.6,41.58,188.8,16.05,206.0,9.27,11.3,3.05,0
357,134.2,22.81,227.3,19.32,122.4,5.51,8.5,2.3,0
358,149.7,25.45,211.1,17.94,114.3,5.14,9.2,2.48,0
359,150.1,25.52,264.7,22.5,178.4,8.03,5.8,1.57,0
360,257.1,43.71,312.2,26.54,183.0,8.24,8.8,2.38,1
361,124.4,21.15,179.7,15.27,253.0,11.39,11.3,3.05,0
362,141.7,24.09,232.3,19.75,222.1,9.99,12.0,3.24,0
363,230.0,39.1,103.2,8.77,309.6,13.93,11.3,3.05,0
364,162.3,27.59,213.7,18.16,192.1,8.64,10.9,2.94,0
365,350.8,59.64,216.5,18.4,253.9,11.43,10.1,2.73,1
366,193.3,32.86,264.1,22.45,128.6,5.79,9.1,2.46,0
367,78.2,13.29,253.4,21.54,255.0,11.48,18.0,4.86,0
368,83.4,14.18,232.2,19.74,146.7,6.6,7.6,2.05,0
369,195.6,33.25,267.8,22.76,164.9,7.42,16.0,4.32,0
370,201.8,34.31,225.0,19.13,204.4,9.2,10.3,2.78,0
371,197.0,33.49,222.8,18.94,225.3,10.14,10.6,2.86,0
372,218.0,37.06,114.4,9.72,269.2,12.11,12.4,3.35,1
373,164.8,28.02,229.9,19.54,167.3,7.53,14.8,4.0,0
374,179.2,30.46,210.7,17.91,276.9,12.46,9.2,2.48,0
375,214.0,36.38,180.0,15.3,134.5,6.05,10.6,2.86,0
376,170.5,28.99,118.2,10.05,187.9,8.46,11.2,3.02,0
377,205.7,34.97,214.5,18.23,226.1,10.17,6.7,1.81,0
378,165.5,28.14,286.2,24.33,198.9,8.95,11.5,3.11,1
379,221.0,37.57,160.7,13.66,233.1,10.49,6.8,1.84,0
380,242.1,41.16,191.0,16.24,218.6,9.84,14.7,3.97,0
381,151.6,25.77,155.4,13.21,240.0,10.8,14.7,3.97,0
382,176.2,29.95,145.0,12.33,249.5,11.23,5.7,1.54,0
383,196.0,33.32,322.7,27.43,225.6,10.15,3.7,1.0,0
384,159.5,27.12,247.1,21.0,187.9,8.46,7.2,1.94,0
